station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Southport Ave & Wellington Ave",41.935733,-87.663576,4205,3720,485,632
"Millennium Park",41.8810317,-87.62408432,4204,832,3372,633
"Wabash Ave & Wacker Pl",41.886875,-87.62603,4204,832,3372,633
"Clark St & Bryn Mawr Ave",41.983593,-87.669154,4198,3917,281,634
"Ravenswood Ave & Lawrence Ave",41.96909,-87.674237,4198,3917,281,634
"Lake Shore Dr & Monroe St",41.880958,-87.616743,4198,784,3414,635
"Dusable Harbor",41.886976,-87.612813,4198,784,3414,635
"Buckingham Fountain",41.876368,-87.6205586,4188,320,3868,636
"Shedd Aquarium",41.8672259568,-87.6153553902,4188,320,3868,636
"Streeter Dr & Illinois St",41.891071,-87.6122,4186,401,3785,637
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,4186,401,3785,637
"Paulina Ave & North Ave",41.9098546522,-87.66993016,4185,4008,177,638
"Marshfield Ave & Cortland St",41.916017,-87.668879,4185,4008,177,638
"Clark St & Wellington Ave",41.9364968219,-87.6475386582,4185,2390,1795,639
"Theater on the Lake",41.926277,-87.630834,4185,2390,1795,639
"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,4182,3432,750,640
"Clark St & Wrightwood Ave",41.929546,-87.643118,4182,3432,750,640
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,4180,3844,336,641
"Leavitt St & North Ave",41.910153,-87.68229,4180,3844,336,641
"Canal St & Adams St",41.879255,-87.639904,4173,3856,317,642
"Clark St & Elm St",41.903233,-87.631253,4173,3856,317,642
"Shedd Aquarium",41.8672259568,-87.6153553902,4165,1233,2932,643
"Fort Dearborn Dr & 31st St",41.838556,-87.608218,4165,1233,2932,643
"Lake Shore Dr & North Blvd",41.911722,-87.626804,4161,2047,2114,644
"Columbus Dr & Randolph St",41.884728,-87.619521,4161,2047,2114,644
"Larrabee St & Webster Ave",41.921822,-87.64414,4158,3507,651,645
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,4158,3507,651,645
"Michigan Ave & Congress Pkwy",41.8760656,-87.62443336,4154,2703,1451,646
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,4154,2703,1451,646
"Desplaines St & Randolph St",41.883703,-87.644238,4152,3905,247,647
"Canal St & Adams St",41.879255,-87.639904,4152,3905,247,647
"Benson Ave & Church St",42.048214,-87.683485,4152,3087,1065,648
"Chicago Ave & Washington St",42.032562,-87.679101,4152,3087,1065,648
"Mies van der Rohe Way & Chestnut St",41.8985866514,-87.6219152258,4152,3594,558,649
"Clark St & Elm St",41.903233,-87.631253,4152,3594,558,649
"Clark St & Lake St",41.8860208277,-87.6308760584,4146,3585,561,650
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,4146,3585,561,650
"Larrabee St & Kingsbury St",41.897764,-87.642884,4146,3950,196,651
"Canal St & Madison St",41.882091,-87.639833,4146,3950,196,651
"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,4142,3428,714,652
"Sheffield Ave & Webster Ave",41.92154,-87.653818,4142,3428,714,652
"Dearborn St & Erie St",41.893992,-87.629318,4141,3746,395,653
"Franklin St & Monroe St",41.880317,-87.635185,4141,3746,395,653
