station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Wilton Ave & Diversey Pkwy",41.932418,-87.652705,"Halsted St & Wrightwood Ave",41.929143,-87.649077,7870,7266,604
"Columbus Dr & Randolph St",41.884728,-87.619521,"Clark St & Randolph St",41.884576228,-87.63188991,7864,7241,623
"Morgan St & Lake St",41.8854833079,-87.6523048564,"Canal St & Adams St",41.879255,-87.639904,7857,7660,197
"Columbus Dr & Randolph St",41.884728,-87.619521,"Clinton St & Madison St",41.8827519657,-87.6411902905,7795,7409,386
"McClurg Ct & Illinois St",41.89102,-87.6173,"Lake Shore Dr & North Blvd",41.911722,-87.626804,7743,2544,5199
"Clinton St & Washington Blvd",41.88338,-87.64117,"Clark St & Randolph St",41.884576228,-87.63188991,7727,7370,357
"Sedgwick St & Huron St",41.894666,-87.638437,"Clinton St & Washington Blvd",41.88338,-87.64117,7693,7288,405
"Clark St & Lake St",41.8860208277,-87.6308760584,"Canal St & Adams St",41.879255,-87.639904,7676,7004,672
"Shore Dr & 55th St",41.795212,-87.580715,"University Ave & 57th St",41.791478,-87.599861,7665,6088,1577
"University Library (NU)",42.052939,-87.673447,"Benson Ave & Church St",42.048214,-87.683485,7649,6661,988
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Racine Ave & Fullerton Ave",41.92556258,-87.65840426,7646,7325,321
"Canal St & Adams St",41.879255,-87.639904,"Daley Center Plaza",41.884241,-87.629634,7645,7146,499
"Clark St & Lincoln Ave",41.915689,-87.6346,"Streeter Dr & Grand Ave",41.892278,-87.612043,7637,1467,6170
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Fairbanks Ct & Grand Ave",41.89186,-87.62062,7636,1686,5950
"California Ave & Milwaukee Ave",41.922695,-87.697153,"Humboldt Blvd & Armitage Ave",41.917513394,-87.7018089555,7598,7010,588
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Michigan Ave & 8th St",41.872773,-87.623981,7575,775,6800
